,match
1021,NA1_4059117528
1022,NA1_4059104589
1023,NA1_4058318527
1024,NA1_4058269065
1025,NA1_4058311552
1026,NA1_4058289807
1027,NA1_4070901722
1028,NA1_4070130498
1029,NA1_4070109912
1030,NA1_4070058275
1031,NA1_4070027735
1032,NA1_4069916902
1033,NA1_4069924445
1034,NA1_4063393011
1035,NA1_4063421709
1036,NA1_4062257037
1037,NA1_4062294047
1038,NA1_4062186987
1039,NA1_4062242373
1040,NA1_4062212312
1041,NA1_4057460960
1042,NA1_4057359110
1043,NA1_4056507008
1044,NA1_4056477251
1045,NA1_4044714379
1046,NA1_4044761754
1047,NA1_4043788875
1048,NA1_4036815752
1049,NA1_4036881563
1050,NA1_4036023498
1051,NA1_4036031633
1052,NA1_4036007867
1053,NA1_4036014917
1054,NA1_4036012503
1055,NA1_4035939574
1056,NA1_4027804322
1057,NA1_3965780479
1058,NA1_3965717320
1059,NA1_3965723411
1060,NA1_3965710276
1061,NA1_3965632052
1062,NA1_3965545992
1063,NA1_3964690239
1064,NA1_3964618124
1065,NA1_3964615995
1066,NA1_3964633261
1067,NA1_3964609986
1068,NA1_3964526211
1069,NA1_3959907749
1070,NA1_3959892720
1071,NA1_3954770663
1072,NA1_3954739567
1073,NA1_3954065571
1074,NA1_3954072260
1075,NA1_3953398341
1076,NA1_3953387915
1077,NA1_3953386732
1078,NA1_3953375799
1079,NA1_3953344346
1080,NA1_3953352006
1081,NA1_3953369964
1082,NA1_3953298828
1083,NA1_3953287352
1084,NA1_3953305147
1085,NA1_3953263098
1086,NA1_3886769777
1087,NA1_3883203653
1088,NA1_3883203610
1089,NA1_3883203572
1090,NA1_3883203465
1091,NA1_3883203348
1092,NA1_3883203273
1093,NA1_3883203224
1094,NA1_3883203179
1095,NA1_3822043521
1096,NA1_3820461801
1097,NA1_3820425645
1098,NA1_3820442605
1099,NA1_3820298992
1100,NA1_3820287561
1101,NA1_3820312503
1102,NA1_3803171093
1103,NA1_3803135621
1104,NA1_3776247693
1105,NA1_3776227084
1106,NA1_3774911068
1107,NA1_3774909851
1108,NA1_3774818958
1109,NA1_3774846707
1110,NA1_3774457920
1111,NA1_3714795378
1112,NA1_3700099537
1113,NA1_3700105639
1114,NA1_3700092571
1115,NA1_3700049460
1116,NA1_4083921817
1117,NA1_4071863247
1118,NA1_4062808794
1119,NA1_4062775553
1120,NA1_4062770657
1121,NA1_4060155599
1122,NA1_4058256461
1123,NA1_4058261835
1124,NA1_4058242881
1125,NA1_4053083653
1126,NA1_4052968039
1127,NA1_4052983188
1128,NA1_4016869200
1129,NA1_4016857671
1130,NA1_3987791672
1131,NA1_3952389934
1132,NA1_3952307761
1133,NA1_3921012129
1134,NA1_3921012058
1135,NA1_3920952017
1136,NA1_3921011982
1137,NA1_3921011953
1138,NA1_3919215311
1139,NA1_3919164968
1140,NA1_3919215234
1141,NA1_3919215202
1142,NA1_3919215174
1143,NA1_3919215150
1144,NA1_3919215125
1145,NA1_3919215074
1146,NA1_3919215037
1147,NA1_3919214952
1148,NA1_3912469679
1149,NA1_3912469653
1150,NA1_3912469628
1151,NA1_3912469604
1152,NA1_3912208383
1153,NA1_3912208300
1154,NA1_3912208276
1155,NA1_3912208241
1156,NA1_3912208194
1157,NA1_3912208158
1158,NA1_3912208116
1159,NA1_3912208077
