,0
887,NA1_4087518806
888,NA1_4087515894
889,NA1_4087481841
890,NA1_4087459797
891,NA1_4087397058
892,NA1_4087391926
893,NA1_4087326545
894,NA1_4087352757
895,NA1_4087153185
896,NA1_4086573445
897,NA1_4086483867
898,NA1_4086428017
899,NA1_4086471328
900,NA1_4104480069
901,NA1_4103202385
902,NA1_4103161755
903,NA1_4103099524
904,NA1_4103145481
905,NA1_4103079481
906,NA1_4103076226
907,NA1_4101625590
908,NA1_4099680877
909,NA1_4099669931
910,NA1_4099618218
911,NA1_4099598254
912,NA1_4099597467
913,NA1_4098097983
914,NA1_4090277130
915,NA1_4090223684
916,NA1_4089742004
917,NA1_4089596423
918,NA1_4089642025
919,NA1_4089539510
920,NA1_4089545330
921,NA1_4089502398
922,NA1_4089431443
923,NA1_4089357727
924,NA1_4089362486
925,NA1_4089285681
926,NA1_4089249160
927,NA1_4089264647
928,NA1_4089250831
929,NA1_4089148411
930,NA1_4089163543
931,NA1_4088785486
932,NA1_4088782373
933,NA1_4088656499
934,NA1_4088167929
935,NA1_4087902355
936,NA1_4087813401
937,NA1_4087795428
938,NA1_4087473620
939,NA1_4087450933
940,NA1_4087387404
941,NA1_4087315695
942,NA1_4080388933
943,NA1_4080358523
944,NA1_4080356182
945,NA1_4080325601
946,NA1_4080324368
947,NA1_4080360522
948,NA1_4080279042
949,NA1_4080264121
950,NA1_4080270412
951,NA1_4079425700
952,NA1_4079424248
953,NA1_4079460252
954,NA1_4079407143
955,NA1_4079355638
956,NA1_4079370075
957,NA1_4079311553
958,NA1_4079097096
959,NA1_4074740368
960,NA1_4074688233
961,NA1_4072642612
962,NA1_4072588084
963,NA1_4072584810
964,NA1_4072540367
965,NA1_4072524321
966,NA1_4072511109
967,NA1_4072454283
968,NA1_4072328670
969,NA1_4071774774
970,NA1_4068905222
971,NA1_4068839347
972,NA1_4068884853
973,NA1_4068659716
974,NA1_4068358446
975,NA1_4068364665
976,NA1_4068401252
977,NA1_4066981978
978,NA1_4066916067
979,NA1_4066911632
980,NA1_4066827252
981,NA1_4066794226
982,NA1_4058362656
983,NA1_4058329872
984,NA1_4058301149
985,NA1_4058245545
986,NA1_4058203605
987,NA1_4058166129
988,NA1_4058133802
989,NA1_4058068974
990,NA1_4058055704
991,NA1_4058014136
992,NA1_4057116895
993,NA1_4053215644
994,NA1_4053128323
995,NA1_4051263807
996,NA1_4046349049
997,NA1_4046325423
998,NA1_4045164422
999,NA1_4045133336
1000,NA1_4104391828
1001,NA1_4104283893
1002,NA1_4103843732
1003,NA1_4100102032
1004,NA1_4100063673
1005,NA1_4097316466
1006,NA1_4097304092
1007,NA1_4096735930
1008,NA1_4096707213
1009,NA1_4096640097
1010,NA1_4096452119
1011,NA1_4096208920
1012,NA1_4096214213
1013,NA1_4095119951
1014,NA1_4094215077
1015,NA1_4092943401
1016,NA1_4092918451
1017,NA1_4089535807
1018,NA1_4089561552
1019,NA1_4087986516
1020,NA1_4088004414
1021,NA1_4088002400
1022,NA1_4087637102
1023,NA1_4086016968
1024,NA1_4081585753
1025,NA1_4081263442
1026,NA1_4081251759
1027,NA1_4081250793
1028,NA1_4081226986
1029,NA1_4080400042
1030,NA1_4080358826
1031,NA1_4080367752
1032,NA1_4080366362
1033,NA1_4079726579
1034,NA1_4079752093
1035,NA1_4078874981
1036,NA1_4078324967
1037,NA1_4078333755
1038,NA1_4078251971
1039,NA1_4077889253
1040,NA1_4077894785
1041,NA1_4077890174
1042,NA1_4077845307
1043,NA1_4077832319
1044,NA1_4077829997
1045,NA1_4077776555
1046,NA1_4077753936
1047,NA1_4077515285
1048,NA1_4077433177
1049,NA1_4077369261
1050,NA1_4077117278
1051,NA1_4077130878
1052,NA1_4077077496
1053,NA1_4077083947
1054,NA1_4076116174
1055,NA1_4076091332
1056,NA1_4075994285
1057,NA1_4075099645
1058,NA1_4075055304
1059,NA1_4075052162
1060,NA1_4074997985
1061,NA1_4074993927
1062,NA1_4074742093
1063,NA1_4074760170
1064,NA1_4073750847
1065,NA1_4073619061
1066,NA1_4073637405
1067,NA1_4073566620
1068,NA1_4073582078
1069,NA1_4073528849
1070,NA1_4073482671
1071,NA1_4072417514
1072,NA1_4072411853
1073,NA1_4072132736
1074,NA1_4071712566
1075,NA1_4071647598
1076,NA1_4071652267
1077,NA1_4071596307
1078,NA1_4071610046
1079,NA1_4071497682
1080,NA1_4071501674
1081,NA1_4071356971
1082,NA1_4071410334
1083,NA1_4070328503
1084,NA1_4070295661
1085,NA1_4070292362
1086,NA1_4070237596
1087,NA1_4064310061
1088,NA1_4062871098
1089,NA1_4060313338
1090,NA1_4059274254
1091,NA1_4059261195
1092,NA1_4059178501
1093,NA1_4059213354
1094,NA1_4059180013
1095,NA1_4059104222
1096,NA1_4059045383
1097,NA1_4058968905
1098,NA1_4058975455
1099,NA1_4057922246
1100,NA1_4097878166
1101,NA1_4097679567
1102,NA1_4097665936
1103,NA1_4094367367
1104,NA1_4092639378
1105,NA1_4092596272
1106,NA1_4092589938
1107,NA1_4092564076
1108,NA1_4091943641
1109,NA1_4091930204
1110,NA1_4090900776
1111,NA1_4089535807
1112,NA1_4086544816
1113,NA1_4086413492
1114,NA1_4085832292
1115,NA1_4085623985
1116,NA1_4085539696
1117,NA1_4085063179
1118,NA1_4084988608
1119,NA1_4083833945
1120,NA1_4083779661
1121,NA1_4083122182
1122,NA1_4082189122
1123,NA1_4082173520
1124,NA1_4082088460
1125,NA1_4080144018
1126,NA1_4079376830
1127,NA1_4079393897
1128,NA1_4078590533
1129,NA1_4078547337
1130,NA1_4078525346
1131,NA1_4077384396
1132,NA1_4077429936
1133,NA1_4077354004
1134,NA1_4077259605
1135,NA1_4077039643
1136,NA1_4077034934
1137,NA1_4076990356
1138,NA1_4076946846
1139,NA1_4076952937
1140,NA1_4075115164
1141,NA1_4075038935
1142,NA1_4074994335
1143,NA1_4074680870
1144,NA1_4074626596
1145,NA1_4074504958
1146,NA1_4069132177
1147,NA1_4068898139
1148,NA1_4068886088
1149,NA1_4068871853
1150,NA1_4068666851
1151,NA1_4068672730
1152,NA1_4059112137
1153,NA1_4059060213
1154,NA1_4058993021
1155,NA1_4058955618
1156,NA1_4058902865
1157,NA1_4058883026
1158,NA1_4058121498
1159,NA1_4057978985
1160,NA1_4057363571
1161,NA1_4057327964
1162,NA1_4057333820
1163,NA1_4057244526
1164,NA1_4054551704
1165,NA1_4054545738
1166,NA1_4049838346
1167,NA1_4049823970
1168,NA1_4049785805
1169,NA1_4049793158
1170,NA1_4049689381
1171,NA1_4049724092
1172,NA1_4047059634
1173,NA1_4046778174
1174,NA1_4046773518
1175,NA1_4046731794
1176,NA1_4046707437
1177,NA1_4046663145
1178,NA1_4046167189
1179,NA1_4041605773
1180,NA1_4041412355
1181,NA1_4041372451
1182,NA1_4041379772
1183,NA1_4040655920
1184,NA1_4040519186
1185,NA1_4040544725
1186,NA1_4040201243
1187,NA1_4040097451
1188,NA1_4039755907
1189,NA1_4039789781
1190,NA1_4039585076
1191,NA1_4037727107
1192,NA1_4037489007
1193,NA1_4037546670
1194,NA1_4036644769
1195,NA1_4036480281
1196,NA1_4036312301
1197,NA1_4036255321
1198,NA1_4035394716
1199,NA1_4035412402
1200,NA1_4104787393
1201,NA1_4104729410
1202,NA1_4104703783
1203,NA1_4104607943
1204,NA1_4104148774
1205,NA1_4104146768
1206,NA1_4104191961
1207,NA1_4104128022
1208,NA1_4104081676
1209,NA1_4103790747
1210,NA1_4103608004
1211,NA1_4103612339
1212,NA1_4101155134
1213,NA1_4101131913
1214,NA1_4099504304
1215,NA1_4099218712
1216,NA1_4099224874
1217,NA1_4099127073
1218,NA1_4098835088
1219,NA1_4098157483
1220,NA1_4097857481
1221,NA1_4097629791
1222,NA1_4096901727
1223,NA1_4096806470
1224,NA1_4096768579
1225,NA1_4096740538
1226,NA1_4096425998
1227,NA1_4096410315
1228,NA1_4096275235
1229,NA1_4095742616
1230,NA1_4095697509
1231,NA1_4095683548
1232,NA1_4095545788
1233,NA1_4095589955
1234,NA1_4095475856
1235,NA1_4095437541
1236,NA1_4093264863
1237,NA1_4093464523
1238,NA1_4094602632
1239,NA1_4094570881
1240,NA1_4094535661
1241,NA1_4094510954
1242,NA1_4094444907
1243,NA1_4093491983
1244,NA1_4093431996
1245,NA1_4093431753
1246,NA1_4093431570
1247,NA1_4093161750
