,0
526,NA1_4094405038
527,NA1_4091698135
528,NA1_4087980190
529,NA1_4087889233
530,NA1_4087894627
531,NA1_4087858194
532,NA1_4087779427
533,NA1_4086918136
534,NA1_4086858031
535,NA1_4086913886
536,NA1_4086819320
537,NA1_4086824448
538,NA1_4086821348
539,NA1_4086716886
540,NA1_4086692670
541,NA1_4086637135
542,NA1_4086024683
543,NA1_4085909650
544,NA1_4085165402
545,NA1_4085192108
546,NA1_4085180571
547,NA1_4085116654
548,NA1_4085113757
549,NA1_4084845487
550,NA1_4084767947
551,NA1_4084716466
552,NA1_4084760883
553,NA1_4081055939
554,NA1_4081039869
555,NA1_4080985172
556,NA1_4080982018
557,NA1_4080888024
558,NA1_4080884475
559,NA1_4080839341
560,NA1_4080819848
561,NA1_4080782370
562,NA1_4080176022
563,NA1_4080132059
564,NA1_4080095773
565,NA1_4077430727
566,NA1_4077108915
567,NA1_4077153151
568,NA1_4077068551
569,NA1_4073431229
570,NA1_4073307297
571,NA1_4073350330
572,NA1_4073244086
573,NA1_4073187945
574,NA1_4073222789
575,NA1_4068070078
576,NA1_4067997564
577,NA1_4067936109
578,NA1_4067921610
579,NA1_4067728587
580,NA1_4067714184
581,NA1_4067694326
582,NA1_4067651015
583,NA1_4067566901
584,NA1_4067594045
585,NA1_4067529403
586,NA1_4066455860
587,NA1_4066254834
588,NA1_4066292560
589,NA1_4066129185
590,NA1_4066076552
591,NA1_4066102073
592,NA1_4065876344
593,NA1_4060026216
594,NA1_4058746891
595,NA1_4058780730
596,NA1_4058679370
597,NA1_4058675165
598,NA1_4058672021
599,NA1_4058657016
600,NA1_4105323023
601,NA1_4102958695
602,NA1_4101323577
603,NA1_4101290601
604,NA1_4101224741
605,NA1_4101198892
606,NA1_4101112467
607,NA1_4100049212
608,NA1_4100040481
609,NA1_4098898536
610,NA1_4098940409
611,NA1_4098608600
612,NA1_4098586038
613,NA1_4098519659
614,NA1_4096709479
615,NA1_4096201409
616,NA1_4096156679
617,NA1_4096121572
618,NA1_4093872249
619,NA1_4093788226
620,NA1_4092651091
621,NA1_4092548204
622,NA1_4092575472
623,NA1_4092581464
624,NA1_4092458879
625,NA1_4092024358
626,NA1_4092001038
627,NA1_4091493232
628,NA1_4091458842
629,NA1_4090999999
630,NA1_4090602698
631,NA1_4090493225
632,NA1_4090445210
633,NA1_4089586590
634,NA1_4089083378
635,NA1_4089089870
636,NA1_4088681989
637,NA1_4088292739
638,NA1_4088240540
639,NA1_4088183931
640,NA1_4087993266
641,NA1_4088011469
642,NA1_4087980848
643,NA1_4087874311
644,NA1_4087599399
645,NA1_4087482286
646,NA1_4087437735
647,NA1_4087414310
648,NA1_4087421006
649,NA1_4086379503
650,NA1_4086395892
651,NA1_4086363479
652,NA1_4086349793
653,NA1_4085929458
654,NA1_4085803605
655,NA1_4085737046
656,NA1_4085560659
657,NA1_4085457715
658,NA1_4085481264
659,NA1_4085426416
660,NA1_4085365333
661,NA1_4084972794
662,NA1_4084923409
663,NA1_4084823629
664,NA1_4084516608
665,NA1_4084375474
666,NA1_4084392159
667,NA1_4084307223
668,NA1_4083966682
669,NA1_4084012398
670,NA1_4083957132
671,NA1_4083786067
672,NA1_4083692468
673,NA1_4083609505
674,NA1_4083596241
675,NA1_4083409102
676,NA1_4083407269
677,NA1_4083153919
678,NA1_4083119150
679,NA1_4083085371
680,NA1_4083070721
681,NA1_4082970887
682,NA1_4082850507
683,NA1_4082805025
684,NA1_4082663300
685,NA1_4082329332
686,NA1_4082296333
687,NA1_4082179455
688,NA1_4082202691
689,NA1_4081921013
690,NA1_4081829894
691,NA1_4081624973
692,NA1_4081547460
693,NA1_4081525192
694,NA1_4081541502
695,NA1_4080808823
696,NA1_4080804821
697,NA1_4080227172
698,NA1_4080191775
699,NA1_4080144184
700,NA1_4098653360
701,NA1_4098559657
702,NA1_4098583780
703,NA1_4097657658
704,NA1_4097592231
705,NA1_4097511807
706,NA1_4097458663
707,NA1_4097425301
708,NA1_4096702000
709,NA1_4096111089
710,NA1_4095690045
711,NA1_4095645857
712,NA1_4095640792
713,NA1_4095406011
714,NA1_4095349173
715,NA1_4095350052
716,NA1_4095284627
717,NA1_4095229171
718,NA1_4095213588
719,NA1_4095127458
720,NA1_4091524277
721,NA1_4091364277
722,NA1_4091381165
723,NA1_4090873999
724,NA1_4090732449
725,NA1_4090695903
726,NA1_4090337320
727,NA1_4090334258
728,NA1_4090252970
729,NA1_4089412455
730,NA1_4089289324
